,status,totalResults,source,author,title,description,url,urlToImage,publishedAt,content
0,ok,48,"{'id': None, 'name': 'Los Angeles Business Journal'}",,Development Sites Sell for $47M - Los Angeles Business Journal,Learn about a nearly $47 million sale of two sites in Hollywood and West Hollywood for redevelopment.,https://labusinessjournal.com/real-estate/development-sites-sell-for-47m/,https://d3evu7qlt2vui6.cloudfront.net/wp-content/uploads/2022/06/PGTK_RE-PAGE_DEVELOPMENT_0620_WeHo-e1655488940392-1024x645.png,2022-06-20T07:05:53Z,Two parcels on the border of West Hollywood and Hollywood with redevelopment potential have sold for $46.5 million.An unnamed local developer acquired the site; the developer already owns commercial … [+1641 chars]
1,ok,48,"{'id': None, 'name': 'Planetizen.com'}",Diana Ionescu,A New Life for the Suburban Office Park?,"A New Life for the Suburban Office Park?
Diana Ionescu
Wed, 07/06/2022 - 06:00

 
 Primary Image

 

 


 Writing in The New York Times, Emily Badger describes the plight of a fading American typology: the suburban office park. “Today suburban office parks …",https://www.planetizen.com/news/2022/07/117693-new-life-suburban-office-park,https://www.planetizen.com/files/images/shutterstock_2874744_crop.jpg,2022-07-06T13:00:00Z,"Writing in The New York Times, Emily Badger describes the plight of a fading American typology: the suburban office park. Today suburban office parks have drawn far less attention than downtown offic… [+1338 chars]"
2,ok,48,"{'id': None, 'name': 'Dailyinfographic.com'}",Lyle Opolentisima,"The 10 Most Valuable Sports Empires. Defined By Revenue, And Where They Are From.","When we talk about sports, it’s obvious that we’re talking about more than just the physical act of playing a game. Sports are big business in the United States and around the world, and as such, they attract an incredible amount of money—not just from ticket…",https://dailyinfographic.com/the-most-valuable-sports-empires,https://dailyinfographic.com/wp-content/uploads/2022/06/tcx80lsibf591.png,2022-06-19T12:15:55Z,"When we talk about sports, it’s obvious that we’re talking about more than just the physical act of playing a game. Sports are big business in the United States and around the world, and as such, the… [+6168 chars]"
3,ok,48,"{'id': None, 'name': 'Www.rfi.fr'}",RFI,"Warehouse business catches fire, boosted by pandemic, e-commerce - RFI English","The rise of e-commerce and the logistical nightmare created by the Covid-19 pandemic have caused a surge in demand for warehouse space in the United States, and big investment funds have taken note.",https://www.rfi.fr/en/warehouse-business-catches-fire-boosted-by-pandemic-e-commerce,https://s.rfi.fr/media/display/6ff0737c-ef72-11ec-bb72-005056a97e36/w:1280/p:16x9/Part-GTY-825338394-1-1-1.jpg,2022-06-19T01:52:14Z,"New York (AFP) The rise of e-commerce and the logistical nightmare created by the Covid-19 pandemic have caused a surge in demand for warehouse space in the United States, and big investment funds ha… [+3952 chars]"
4,ok,48,"{'id': None, 'name': 'Los Angeles Business Journal'}",,LVMH's luxury hotel project approved - Los Angeles Business Journal,The long-awaited Cheval Blanc Beverly Hills hotel by LVMH Moët Hennessy Louis Vuitton was unanimously approved by the Beverly Hills Planning Commission on June 20. The 115-room luxury hotel is expected to face the Beverly Hills City Council to decide its fate…,https://labusinessjournal.com/featured/lvmhs-luxury-hotel-project-approved/,https://d3evu7qlt2vui6.cloudfront.net/wp-content/uploads/2022/06/PG01_HOTEL_0627-pc-Peter-Marino-Architect_hi-res-scaled-e1656088350537.jpg,2022-06-27T07:05:27Z,The long-awaited Cheval Blanc Beverly Hills hotel by LVMH Moët Hennessy Louis Vuitton was unanimously approved by the Beverly Hills Planning Commission on June 20. The 115-room luxury hotel is expect… [+5244 chars]
5,ok,48,"{'id': None, 'name': 'Business Wire'}",,Hobbs Brook Real Estate Names Peter Gottlieb as President and CEO,"BOSTON--(BUSINESS WIRE)--Hobbs Brook Real Estate LLC (HBRE), a pioneering developer, owner and operator of premier office and life science space throughout the United States and Singapore, today announced that it has named Peter Gottlieb as President and CEO …",https://www.businesswire.com/news/home/20220706005615/en/Hobbs-Brook-Real-Estate-Names-Peter-Gottlieb-as-President-and-CEO,https://mms.businesswire.com/media/20220706005615/en/1499852/23/Peter_Gottlieb_CEO_HBRE.jpg,2022-07-06T14:56:07Z,"BOSTON--(BUSINESS WIRE)--Hobbs Brook Real Estate LLC (HBRE), a pioneering developer, owner and operator of premier office and life science space throughout the United States and Singapore, today anno… [+1719 chars]"
6,ok,48,"{'id': None, 'name': 'Yahoo Entertainment'}",PR Newswire,Real estate transparency gap widens in favor of leading global markets,"While many of the world's leading commercial real estate markets in North America, Western Europe and Australasia are becoming more transparent, most other...",https://finance.yahoo.com/news/real-estate-transparency-gap-widens-130000417.html,https://s.yimg.com/uu/api/res/1.2/T7Mghw9SnZ5._c34F3_isg--~B/aD0yOTQ7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/b56107b77d4ff6229814efc96842ef89,2022-06-30T13:00:00Z,"Improvements reflect a post-pandemic focus on sustainability, increased adoption of real estate technology, investment in alternative sectors and better data availability
CHICAGO, June 30, 2022 /PRN… [+7359 chars]"
7,ok,48,"{'id': None, 'name': 'Business Wire'}",,City Center Realty Partners Sells Class A Office Building in Twin Cities Suburb to Investment Company O’Shaughnessy Holding Company,"EDINA, Minn.--(BUSINESS WIRE)--City Center Realty Partners sold a 45,000 square foot office building in Edina, Minnesota to O'Shaughnessy Holding Company.",https://www.businesswire.com/news/home/20220621005343/en/City-Center-Realty-Partners-Sells-Class-A-Office-Building-in-Twin-Cities-Suburb-to-Investment-Company-O%E2%80%99Shaughnessy-Holding-Company,https://mms.businesswire.com/media/20220621005343/en/1491641/23/7151MetroBlvdEdina_rev.jpg,2022-06-21T14:05:12Z,"EDINA, Minn.--(BUSINESS WIRE)--Developer City Center Realty Partners, LLC (CCRP), in a joint venture with Contrarian Capital Management, announced it has sold a 45,277square foot office building in E… [+3075 chars]"
8,ok,48,"{'id': None, 'name': 'Business Wire'}",,"Blackstone Real Estate Income Trust Completes $5.8 Billion Acquisition of Preferred Apartment Communities, Inc.","ATLANTA & NEW YORK--(BUSINESS WIRE)--Blackstone (NYSE: BX) and Preferred Apartments Communities, Inc. (NYSE: APTS) (“PAC” or the “Company”) today announced that Blackstone Real Estate Income Trust, Inc. (“BREIT”) has completed its previously announced acquisi…",https://www.businesswire.com/news/home/20220623005514/en/Blackstone-Real-Estate-Income-Trust-Completes-5.8-Billion-Acquisition-of-Preferred-Apartment-Communities-Inc.,https://mms.businesswire.com/media/20220623005514/en/1205655/23/PAC_Logo_%28ABBREVIATED%29_-_Black_%26_Red.jpg,2022-06-23T18:36:55Z,"ATLANTA &amp; NEW YORK--(BUSINESS WIRE)--Blackstone (NYSE: BX) and Preferred Apartments Communities, Inc. (NYSE: APTS) (PAC or the Company) today announced that Blackstone Real Estate Income Trust, I… [+3600 chars]"
9,ok,48,"{'id': None, 'name': 'Yahoo Entertainment'}",News Direct,How JLL Is Shaping the Future of Real Estate for a Better World,The built environment accounts for approximately 40% of total direct and indirect CO2 emissions. And with more than 2.5 billion people moving into cities in ...,https://finance.yahoo.com/news/jll-shaping-future-real-estate-140016630.html,https://s.yimg.com/uu/api/res/1.2/Iuel2ed44bYrRk6jSvZjvA--~B/aD00NjA7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/5a33c3b89a8b2570877c060f891dac38,2022-06-15T14:00:16Z,"Northampton, MA --News Direct-- 3BL Alerts
The built environment accounts for approximately 40% of total direct and indirect CO2 emissions. And with more than 2.5 billion people moving into cities i… [+5611 chars]"
